              писать|    1|    1|    0|    0|    0|    1|    0|    0|    0|    0|    1|    0|    0|    0|    0|    1|    1|    0|    0|    1|    0|    0|    1|    0|    1|    0|    1|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|
             простой|    1|    1|    1|    1|    1|    0|    1|    1|    1|    0|    1|    1|    1|    1|    0|    1|    1|    1|    1|    1|    1|    1|    0|    1|    1|    0|    1|    1|    1|    1|    1|    1|    1|    1|    0|    1|    1|    0|    1|    0|
          рейтрейсер|    1|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    1|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|
        использовать|    1|    1|    1|    1|    1|    1|    1|    0|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
              Vulkan|    1|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    1|    0|    0|    0|    0|    1|    0|    0|    0|    0|    0|    0|    1|    0|    0|    0|    0|    0|    1|    0|    0|    0|    0|    0|
          Raytracing|    1|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    1|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|
              график|    1|    0|    1|    1|    0|    1|    1|    0|    0|    1|    0|    1|    1|    1|    0|    0|    1|    0|    0|    1|    1|    1|    0|    0|    1|    0|    0|    1|    1|    1|    1|    0|    1|    1|    1|    1|    0|    1|    0|    1|
              статья|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
    программирование|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
                игра|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
             новость|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
                 код|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
                 арт|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
              дизайн|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
           индустрия|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
           подсказка|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
              термин|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
                 FAQ|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
            страница|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
          сообщество|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
               форум|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
             качалка|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
            участник|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
        пользователь|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
              темный|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
                тема|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
          публикация|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
              проект|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
              работа|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
             входить|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
программированиестатьиграфика|    1|    0|    1|    1|    0|    1|    0|    0|    0|    1|    0|    1|    1|    1|    0|    0|    1|    0|    0|    1|    1|    1|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    1|    1|    1|    0|    1|    0|    0|
               автор|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
                  0r|    1|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    1|    0|    0|    0|    0|    1|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|
                 ngE|    1|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    1|    0|    0|    0|    0|    1|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|
                 все|    1|    1|    1|    1|    0|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    0|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    0|    1|    0|    1|    1|    1|    1|
              привет|    1|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    1|    0|    0|    0|    0|    1|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|
             сегодня|    1|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    1|    0|    0|    1|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|
                   я|    1|    1|    0|    0|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    0|    1|    1|    1|    1|    0|    0|    0|    1|    1|    1|    1|    1|    1|    0|    1|    1|    0|    0|    1|    0|    1|    1|    1|    1|    1|
        рассказывать|    1|    1|    0|    0|    0|    0|    1|    1|    0|    0|    0|    1|    1|    1|    0|    0|    0|    1|    0|    0|    1|    0|    0|    0|    1|    0|    0|    1|    0|    0|    0|    0|    0|    0|    0|    1|    0|    1|    0|    0|
                  вы|    1|    1|    0|    0|    1|    0|    1|    1|    1|    0|    1|    1|    0|    1|    0|    1|    1|    1|    1|    0|    0|    1|    0|    0|    1|    0|    1|    0|    1|    1|    1|    0|    1|    0|    1|    0|    0|    0|    0|    0|
                 как|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
